Service,Category,Funnel_URL
CalCount AI,Nutrition and diet,https://get.calcountai.app/onboarding/chooseGoal?cc_s=facebook&cc_m=paid_social&cc_c=120217749122680314&cc_co=120227459147250314&cc_t=120227460564910314&utm_medium=paid&utm_source=ig&utm_id=120217749122680314&utm_content=120227460564910314&utm_term=120227459147250314&utm_campaign=120217749122680314&fbclid=PAQ0xDSwL0tEVleHRuA2FlbQEwAGFkaWQBqyLvBrhOugGn5dsCxarya7f63i5IdLGGq7MJ41V8LlFkJPYfeCz94sm9b_sA9VxwRjP_pJQ_aem_6hZkPRrxsVvqEvbEpC1TYw
Calisthenix,Fitness,https://pilates-woman.com/pilates-w/step-start?utm_source=facebook&camp_id=%7B%7Bcampaign.id%7D%7D&camp_name=%7B%7Bcampaign.name%7D%7D&utm_campaign=%7B%7Badset.id%7D%7D&asn=%7B%7Badset.name%7D%7D&utm_medium=%7B%7Bad.id%7D%7D&utm_term=%7B%7Bad.name%7D%7D&locale=en&utm_target=v(general_wall_pilates)_tm1(calistenics)_tm2(pilates)
Calmiq,"Mental, ADHD, Habits, Trauma",https://calmiq.fnlfx.com/calmiq-1/
Cardi Health,Nutrition and diet,https://cardi.health/home
Cardimate,Health,https://cardimate.com/age_range_1?cohort=cardimate14
Carni Meat,Nutrition and diet,https://carnimeat.com/start?qz=cm1_fr&locale=EN
Certified Fasting,Fitness,https://v3.certifiedfasting.com/us-en/g-33m-usd-trial/0-landing/
Chillio,"Mental, ADHD, Habits, Trauma",https://get-chillio.app/quiz
Clario,"Geo location, utilities",https://clario.co/rnd/setup-flow/it-3-1-8-bn6-2-upfront-high-v5
Clario,"Geo location, utilities",https://apps.app.clario.co/it-5-2/intro?arm=it-5-2&segment-key=F4ZFpKO0rJ8qnivaA7mW73eDwF6Ed6fX&iteration=it-major-link&ob-segment-id=9vKpDYYiAfCoJPxl8pDWpgHnQN7wqExn&payment-provider=1&payment-mode=production&fbclid=PAQ0xDSwMEHzVleHRuA2FlbQEwAGFkaWQBqyT3TjRDJgGnTxnHJEVg4kXQtUg0ZVddE-59FQUtEPzyTmw-QaDP6EuAwJpf5vk4RQXYYQ0_aem_Jrd1WcX42pazqtRUCAto0Q&utm-campaign=31-07-25_top+new_WW_iOS&utm-campaign-ad-id=120230459614690070&utm-campaign-adset-id=120230459614670070&utm-campaign-id=120229945969190070&utm-content=v2_video_NateFormats_9x16_260625_eng_remake_im_antispy.mp4&utm-medium=Instagram_Reels&utm-source=ig&utm-term=08-08-25_WW_top+new_HV_all+%E2%80%93+Copy+4&sid=5c01ecd3-7931-4c94-97b2-a39c2239204c&session-id=1754760745000.NTXQx%2B13oASgVoDbobT9r%2F4WxeVJ04CbPgTkmxcdLNxNHMJ81HSu90oAedIxgHPnptfMUp10WkFUBgrUr2nvYQ%3D%3D
Clarity Check,"Geo location, utilities",https://claritycheck.com/en
Clearly,"Mental, ADHD, Habits, Trauma",https://talk.clearly.help/v2/onboarding/default/0
Clever,IQ test,https://clever.dpmapps.com/clever-ce5d9
Cli Ai,AI characters,https://clichat.com.br/mage/quiz.php
Cognify,IQ test,https://trackbeat.app/cognifi/?plan=cognifi_wow_weekly_trial3
Colonbroom,"Physical goods, ecommerce",https://colonbroom.com/quiz
CosmicMatch,"Astrology, Human Design, Compatibility",https://cosmicmatch.org/main/d?utm_source=facebook&utm_medium=paid&utm_campaign=WW+%7C+A%2B+%7C+Phase2+%7C+CC+%7C+C+Funnel+%7C+01.07-WW+%7C+A%2B+%7C+Phase2+%7C+CC+%7C+C+Funnel+%7C+01.07&utm_content=CM_43_v9_DK_2024_48W_EN_VIDEO_9x16&utm_term=ig%7CInstagram_Stories%7C120216210726660268%7C120216210726690268%7C120216210726730268&fbclid=PAZXh0bgNhZW0BMABhZGlkAasYAbpGQJwBpsQOMpExo6xXRc8PlSbg6mqXZI4-lSSvm3PFuDCzt2bai9DC8TObxoTemQ_aem_z0Qm-UQJSz4r56VoIQ14ng
Coursiv,Income,https://coursiv.io/en/v5
Curology,"Physical goods, ecommerce",https://app.curology.com/sign-up/get-started/skin/welcome
Dancebit,Fitness,https://dance-bit.com/welcome?lang=en
Deepstash,"Self-improvement, microlearning",https://deepstash.com/growth-plan
Dialogue,AI characters,https://onboarding2.dialogue.app/
Digesti,Nutrition and diet,https://www.digestiplan.com/quiz?q=3
Digesti,Nutrition and diet,https://www.digestiplan.com/articles/i-have-my-life-back?cmpid=6500fa1879b5fa0001f100ef&sub1=120214232133690213&sub2=120214185204530213&sub3=120214133441220213&sub4=DG_EN_GV_0920_04_01_All_Ladies_With_1x1_img+%7C+The+average+woman+%7C+Advertorial%3A+Have+My+Life+Back+%7C+Page%3A+Cortisol+Detox+28+days+%7C+2024.09.24&sub5=LP%3AEN+%7C+WW+%7C+Broad+%7C+A18%2B+%7C+Advaud+%7C+Top+creatives+%7C+%234+%7C+2025.01.12&sub6=%5BGV%5D+DG+%7C+COLD+%7C+ABO+%7C+LP%3AEN+%7C+WW+%7C+BROAD+TESTING+%7C+2025.01.10&sub7=Instagram_Reels&sub8=ig&utm_source=facebook&utm_medium=paid
Dr Kegel,Men/Women health,https://quiz.kegel-plan.com/
Dream App,Health,https://onboarding.dreamapp.io/start
Dressly,Style,https://quiz.dressly.world/en/new-general-unique?utm_source=facebook&utm_campaign=Dressly_Web_Tier1%262%26EU_W_Purchase_SK_CC75_ASC_18_30.01.25_1week_new_general_unique_top_video_utc17+Campaign&utm_adset=Dressly_Web_Tier1%262%26EU_W_Purchase_SK_CC75_ASC_18_30.01.25_1week_new_general_unique_top_video_utc17+Ad+set&utm_ad=UAC-1553_AY_v2_EN_StartDressingForYourself_9x16&utm_term=120215467481140083&utm_content=120215467481180083&utm_id=120215467481170083&utm_medium=paid&fbclid=PAZXh0bgNhZW0BMABhZGlkAasXVLc6QQMBpgeSHaPuHraGhx_NP0hDXH532nfsnv36HfEh45j8ixIJZSPzDZU0ESMraQ_aem_UmS8S5feVjCFWwoJpaQ-_A&device_id=729f214d-d9bc-4e21-920b-d50a7237fa62
Dressly,Style,https://quiz.dressly.world/en/new-general-smart-plan?utm_source=facebook&utm_campaign=Dressly_Web_Tier1%262%26EU_en_Purchase_AD_BC75_CBO_25_08.08.25_1week_new_general_smart_plan_exclude_UK_ASC_top_video_1_utc00&utm_adset=Tier1%262%26EU_exclude_UK_top_video_39_08.08.2025&utm_ad=UAC-4881_VR_VM_v1_EN_OnlineShopping_Shein__DifferentBody_ClothesOnBed__Anx_Rew4142_v_9x16&utm_term=120231095802730518&utm_content=120231095812750518&utm_id=120231095802250518&utm_medium=paid&fbclid=PAQ0xDSwMEIoVleHRuA2FlbQEwAGFkaWQBqyWLbhxNRgGnZJrHZx60gP_BcaPfhCrOilBtvoBEZoPKJK14U9eyiNv-RJ21CyFFJC0vSZQ_aem__yogT5zyXeQnABWsSwX9Uw&device_id=688bf729-d2d4-4c97-be46-11f54ac3e7bd
Duomo,Men/Women health,https://goduomo.com/quiz?qid=01J583DW6AXMBPS7PE2D5NVKKQ
Duomo,Religion,https://goduomo.com/quiz
EasyFit,Fitness,https://www.easyfit.me/onboarding/1?utm_source=facebook&utm_medium=Instagram_Stories&utm_campaign=SL_Easyfit_WEB_Purch_US_EU_CA_AU_WEB_TEST_064_040125&utm_campaign_id=120215080799920388&utm_content=fit_056v1ND_9x16_som_FB_Laura+D_SASHA_460
Eclipse,"Astrology, Human Design, Compatibility",https://eclipce-app.com/quiz
Effecto ,"Mental, ADHD, Habits, Trauma",https://effecto.app/
Effecto ,"Self-improvement, microlearning",https://effectoapp.com/start?qz=ef1&locale=EN
Elevate,"Self-improvement, microlearning",https://onboarding.elevateapp.com
Emotica,AI characters,https://emotica.ai/start/?cmpid=662264e615b334000135a18c&sub1=120216236696370754&sub2=120216236689920754&sub3=120216236689790754&sub4=%5BEMO%5D+I_EMO_EN_CR_Video_EN_W46_CallMode_Script4_DG_IGNOT9_001+%7C+Copy+1+%7C+https%3A%2F%2Femotica.ai%2Fstart%2F+%7C+2024-12-12&sub5=%5BEMO%5D+EU+%7C+25-65+%7C+M+%7C+BROAD+%7C+2025.01.02&sub6=%5BEMO%5D+CBO+%7C+VERTICAL+%7C+LOCALES+%7C+2024.12.30+-+Copy&sub7=Instagram_Reels&sub8=ig&utm_source=facebook&utm_medium=social&utm_campaign=%5BEMO%5D+CBO+%7C+VERTICAL+%7C+LOCALES+%7C+2024.12.30+-+Copy&utm_content=%5BEMO%5D+EU+%7C+25-65+%7C+M+%7C+BROAD+%7C+2025.01.02&utm_term=%5BEMO%5D+I_EMO_EN_CR_Video_EN_W46_CallMode_Script4_DG_IGNOT9_001+%7C+Copy+1+%7C+https%3A%2F%2Femotica.ai%2Fstart%2F+%7C+2024-12-12&campaign_id=120216236689790754&adset_id=120216236689920754&ad_id=120216236696370754&utm_id=120216236689790754
Empty,Nutrition and diet,https://hf.greatapps.co/of-fast-01-02
Eve Friend,AI characters,https://evefriend.com/eve-ced36/
EverDance,Fitness,https://hf.greatapps.co/ed-gen-01-01
EveryDoggy,Hobbies,https://webapp.everydoggy.com/onboarding/?config=customV2&everydoggyV5=true&utm_source=facebook_web&fbpxls%5B%5D=everydoggy&fbpxls%5B%5D=doggy2nd_intro&utm_source=facebook_web&utm_medium=cpc&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_term=%7B%7Badset.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D&adset_id=%7B%7Badset.id%7D%7D&c_id=%7B%7Bcampaign.id%7D%7D&ad_id=%7B%7Bad.id%7D%7D&pcfg=customV2
EveryDoggy,Hobbies,https://webapp.everydoggy.com/onboarding/?config=customV2&showWeekPrice=true&pcfg=customV2
Ewa,Language Learning,https://quiz.appewa.com/sweetboarding/en-ru/classic/bmrfemailv3/bmrf/000-start
Fabu,"Mental, ADHD, Habits, Trauma",https://fabu.care/quiz-3-5/?utm_source=facebook_funnel&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign=%7B%7Bcampaign.id%7D%7D&adset_name=%7B%7Badset.name%7D%7D&ad_name=%7B%7Bad.name%7D%7D&ad_id=%7B%7Bad.id%7D%7D&entry_point=true
Fabuluous,"Mental, ADHD, Habits, Trauma",https://start.thefabulous.co/onboarding/fab-initial-fb-clarify-upsell-v2
Fabuluous,"Mental, ADHD, Habits, Trauma",https://mind.thefabulous.co/onboarding/mind-initial
Fabuluous,"Mental, ADHD, Habits, Trauma",https://time.thefabulous.co/onboarding/time-initial
Face Yoga,Beauty,https://app.faceyoga.coach/start
Face Yoga,Beauty,https://faceyoga.com/pages/dermatologist-reveals-face-yoga-benefits?utm_source=ig&utm_medium=paid&utm_campaign=%5BASC%5D+%5BTESTING%5D+%5BPRELANDER%5D+WINNERS+JULY&utm_content=VID_FY_EN_CR_Tom_002_TiredEyes_Challenge_TV_MIX_25.07.15_goldwinner_silverwinner+-+Copy&utm_term=%5BASC%5D+%5BTESTING%5D+%5BPRELANDER%5D+WINNERS+JULY&utm_contentid=120231565401130268&utm_id=120231565397980268&fbclid=PAZXh0bgNhZW0BMABhZGlkAasl-Mi14dwBpwt76hnpRCuDPTMd0QAOukn729sCObYlI7e_JPzh071P0rf4Ednps2Py42xr_aem_aFIrxuaecUxveXLvzTHQUw
Family Spots,"Geo location, utilities",https://sub.family-spots.com/quiz-pp
Famio,"Geo location, utilities",https://myfamio.com/intro_8?cohort=famio_main9&lang=en
FastEasy,Nutrition and diet,https://plan.fasteasy.io/onboarding?branch-name=general&link-id=go11dla
FastFit,Health,https://quiz.joinfastfit.com/quiz/start
Fastic,Nutrition and diet,https://web.fastic.com/survey/landing?funnel=no_loader&theme=generic
Fasting Tracker,Nutrition and diet,https://app2.alowellness.com/woman/start
Femia,Men/Women health,https://femia.io/?branch-name=motherhood&test-name=go1_2.9&track=true
Filterly,Style,https://get.filterly.app/onboarding/gender?fy_s=facebook&fy_m=paid_social&fy_c=120214365361990107&fy_co=120214365362040107&fy_t=120214365362020107
Finelo,Income,https://quiz.finelo.com/v6
Fishbox,"Geo location, utilities",https://wp.fishboxapp.com/quiz/us/1?plan=27.99q
Fit Coach,Fitness,https://fit-coach.io/start-age-conf-full-a?branch-name=wall_workouts&test-name=go4shd&gender=female
Fit Coach,Fitness,https://fit-coach.io/start-age-config?branch-name=kvn&test-name=go1kvn&gender=male
Fit Coach,Fitness,https://fit-coach.io/start-age-config?branch-name=general&test-name=go33clw&gender=male
Fit Even,Nutrition and diet,https://fiteven.com/lp-survey-longer-ol/?l=en
Fit Lens,Nutrition and diet,https://enof2.fitlens.site/
Fitify,Fitness,https://join.gofitify.com/en/onboarding/gender
Fitify,Fitness,https://join.gofitify.com/en/onboarding/gender?
Fitme,Fitness,https://quiz.fitme.health/?cohort=fitme_senior_3
Fitny,Fitness,https://start.fitny.app/?utm_source=FB&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_adset=%7B%7Badset.name%7D%7D
Fitontime,Fitness,https://go.fit-on-time.ch/60s-quiz/
Flamify,AI characters,https://quiz.flamify.ai/default-copy
Flirt Genius,"Relations, Dating",https://flirtgenius.fnlfx.com/flirtgenius1
Flirtonic,"Relations, Dating",https://wf.flirtonic.com/it-1-5?affid=d2fc6e80-c247-11ef-a337-485ac2f5f200-mzb
Flitsboek,Stories and novels,https://onboarding.flitsboek.nl/welcome/onboarding-web
Flo,Men/Women health,https://app.flo.health/en
Fluently Ai,Language Learning,https://app.getfluently.app/onboarding/intro?traceId=4a43b8cb-804c-4ae3-aaba-92f36720d53c&access_token=eyJhbGciOiJIUzI1NiIsImtpZCI6IllIZkdNYk9DeWxzMkMvdHoiLCJ0eXAiOiJKV1QifQ.eyJhYWwiOiJhYWwxIiwiYW1yIjpbeyJtZXRob2QiOiJhbm9ueW1vdXMiLCJ0aW1lc3RhbXAiOjE3NDY0MzAzMTh9XSwiYXBwX21ldGFkYXRhIjp7fSwiYXVkIjoiYXV0aGVudGljYXRlZCIsImVtYWlsIjoiIiwiZXhwIjoxNzQ2NDMzOTE4LCJpYXQiOjE3NDY0MzAzMTgsImlzX2Fub255bW91cyI6dHJ1ZSwiaXNzIjoiaHR0cHM6Ly9tdWlhdWtub3hrcXFqam1kcHNnay5zdXBhYmFzZS5jby9hdXRoL3YxIiwicGhvbmUiOiIiLCJyb2xlIjoiYXV0aGVudGljYXRlZCIsInNlc3Npb25faWQiOiIyMTgzYjJiMi1jMDk0LTQ1N2UtOTYzZS1kMTdlZjNjYjMzNjEiLCJzdWIiOiIyYjVjNTA3Ni1jZjc0LTQyYTYtOGZkZS03OTY2MzVmOWU2YWEiLCJzdWJzY3JpcHRpb25fdGllciI6IkZyZWUiLCJ1c2VyX21ldGFkYXRhIjp7fX0.CcgAZY9qU00WT6sbCyQ8wFxs6nSuGEfLUKDftd7_UYw&refresh_token=miDEVfp4gIcvKr-HZVvzNA
Formula,Nutrition and diet,https://anti-inflammatory.formula.care/?utm_campaign=d:150625_e:w23-silver_a:1_px:m_f:anti-inflammatory_fp:AIC_ct:asc_g:ww_eo:purch_wo:7c_b:lc__120229499448880712&utm_content=d:150625_e:w23-silver_a:1_px:m_f:anti-inflammatory_fp:AIC_ct:asc_g:ww_eo:purch_wo:7c_b:lc__ig__120229499448810712&utm_id=120229499448880712&utm_medium=cpc&utm_source=Facebook-ads&utm_term=n-A107_ch-fb_t-banner_c-disappear_pr-pl_ds-us_s-1x1__120229499448860712
Formula,Nutrition and diet,https://mediterranean.formula.care/?utm_campaign=d:110525_e:w19-light-sparta_a:1_px:m_dev:ios_f:mediterranean_fp:MDMP_ct:bau_g:ww_eo:purch_wo:7c_b:lc_bl:cbo__120224559096700689&utm_content=01_e:light-sparta_g:us_gen:FM_age:30-65_aud:broad_pl:auto_dt:auto_creo:banner_eo:purch_wo:7c__ig__120224559096690689&utm_id=120224559096700689&utm_medium=cpc&utm_source=Facebook-ads&utm_term=n-M1047_ch-fb_t-banner_c-apostles_pr-pl_ds-pl_s-1x1__120224559096960689
Formula,Nutrition and diet,https://faith-mediterranean.formula.care/?utm_campaign=d:260525_e:Faith-apostle-asc-mix_a:1_px:m_f:faith_fp:AIC_ct:asc_g:ww_eo:purch_wo:7c_b:lc_bl:abo__120222629463810284&utm_content=d:260525_e:Faith-apostle-asc-mix_a:1_px:m_f:faith_fp:AIC_ct:asc_g:ww_eo:purch_wo:7c_b:lc_bl:abo__ig__120222629463800284&utm_id=120222629463810284&utm_medium=cpc&utm_source=Facebook-ads&utm_term=n-M969_ch-fb_t-banner_c-apostle_pr-ts_ds-pl_s-1x1__120222629463880284
Fottur,Fitness,https://fottur.io/start-quiz-b?branch-name=general&test-name=go22rkd
Freeletics,Fitness,https://www.freeletics.com/en/onboarding/
Friday Email,Services,https://welcome.friday-email.ai/ab4/question-age-b/
Futurescape,Edtech,https://futurescape.asa.org/
Gardenit,Hobbies,https://wf.gardenit.io/it-2/care?segment-key=F4ZFpKO0rJ8qnivaA7mW73eDwF6Ed6fX&ob-segment-id=tccSq91mXEOzoC6On1stmWH2Q5Sa0Zp2&iteration=it-1&payment-mode=production&payment-provider=4&utm-source=%7B%7Bsite_source_name%7D%7D&utm-medium=%7B%7Bplacement%7D%7D&utm-campaign=%7B%7Bcampaign.name%7D%7D&utm-term=%7B%7Badset.name%7D%7D&utm-content=%7B%7Bad.name%7D%7D&utm-campaign-id=%7B%7Bcampaign.id%7D%7D&utm-campaign-adset-id=%7B%7Badset.id%7D%7D&utm-campaign-ad-id=%7B%7Bad.id%7D%7D
Geo Mobile,"Geo location, utilities",https://quiz.geomobile.co/
Geozilla,"Geo location, utilities",https://start.geozilla.com/lp1ch2
Geozilla,"Geo location, utilities",https://start.geozilla.com/lp1ch2
Get Lean,Nutrition and diet,https://getlean.life/woman
Get Passion,Stories and novels,https://getpassionapp.com/intro/soldtoemperorson-intro
Getrelatio,"Relations, Dating",https://quiz.getrelatio.com/Pe3Sa9C/ptaeb0t9-gsds-xdzr-99zdd18c6fxy
Getrelatio,"Relations, Dating",https://getrelatio.tech/Pe3MbPs/gz6vjkdd-qoxi-netp-kcyxqpdxlaer/?utm_source=ig&utm_medium=Instagram_Reels&utm_campaign=PA0071_20250106_ABO_WW-BL_LW_Pe3MbPs_Static_PE_LAL-3_Core_C1&utm_content=13143_20241229_AS_AS_PAR_Static_EN_PE_M&utm_adset=20250106_WEB_WW-BL_ADV_1_PE3Mix_LAL-3-new_tech&utm_campaignid=120214334324830366&utm_contentid=120214334332880366&utm_adsetid=120214334327410366&utm_id=120214334324830366&utm_term=120214334327410366&fbclid=PAZXh0bgNhZW0BMABhZGlkAasWTNkv5P4BpkIFIfLC5oYiD22iScSIYTIKpLBUk_LBzOn4i_ij6hHAlEVd12oWxhc-VQ_aem_QCl3ZT_FYL9OrWp_K5NUgg
Getrest,Health,https://quiz.getrest.app/cirye/?fpid=01JTGC3V27A2M9F80FJARNJ2S0&fsid=01JTGC3V272CH8EMVTG514MZE0
Glow Beauty,Beauty,https://quiz.glovbeauty.com/
